id,left,top,right,bottom,mas_Premonsoon,mas_Postmonsoon,sph_Premonsoon,sph_Postmonsoon,mas_premon,mas_postmon
35,73.25,18.5,73.5,18.25,-154.281,66.8739,-74.1908,95.6046,-172.047,97.8885
34,73.25,18.75,73.5,18.5,-171.783,51.8712,-77.2773,90.8899,-179.639,100.977
33,73.25,19,73.5,18.75,-177.301,50.1497,-81.8296,93.7438,-175.42,104.851
68,73.5,17.25,73.75,17,-91.9153,63.8835,-80.4906,90.5264,-85.1161,66.5948
67,73.5,17.5,73.75,17.25,-96.4753,72.3905,-79.5929,94.242,-92.7607,72.2314
66,73.5,17.75,73.75,17.5,-114.206,73.3453,-77.859,97.5271,-113.893,84.5963
65,73.5,18,73.75,17.75,-103.904,64.5236,-76.879,101.128,-121.612,91.4606
64,73.5,18.25,73.75,18,-136.738,57.2712,-68.8595,103.434,-154.636,96.2151
63,73.5,18.5,73.75,18.25,-157.597,61.7539,-69.1525,102.068,-170.287,115.411
62,73.5,18.75,73.75,18.5,-221.374,62.0903,-77.3328,115.079,-218.099,130.342
61,73.5,19,73.75,18.75,-163.982,55.4142,-77.1653,98.8973,-180.583,120.606
60,73.5,19.25,73.75,19,-180.374,67.4911,-84.6443,97.705,-160.833,124.125
100,73.75,16.25,74,16,-82.2299,77.3756,-73.4134,77.3159,-72.378,62.2123
99,73.75,16.5,74,16.25,-128.427,85.5655,-69.2893,84.3348,-104.32,81.2118
98,73.75,16.75,74,16.5,-143.492,70.8057,-72.6001,85.0144,-116.111,75.9323
97,73.75,17,74,16.75,-153.809,67.578,-70.5181,89.3656,-111.024,72.5993
96,73.75,17.25,74,17,-182.395,86.1051,-65.1143,100.226,-138.532,96.2812
95,73.75,17.5,74,17.25,-163.949,95.5023,-62.0207,102.56,-152.852,99.4314
94,73.75,17.75,74,17.5,-153.507,104.369,-64.6307,102.892,-168.372,110.187
93,73.75,18,74,17.75,-125.198,68.5927,-64.8467,109.272,-125.048,105.082
92,73.75,18.25,74,18,-204.186,108.981,-65.1949,100.976,-217.924,166.502
91,73.75,18.5,74,18.25,-169.503,77.3472,-68.5371,117.847,-166.39,150.371
90,73.75,18.75,74,18.5,-222.023,120.033,-73.4631,123.458,-213.283,186.385
89,73.75,19,74,18.75,-155.912,56.2221,-79.6036,103.919,-149.021,124.861
