id,left,top ,right,bottom,mas_Premonsoon ,mas_Postmonsoon,sp_Premonsoon ,sp_Postmonsoon,mas_premonsoon_2010,mas_postmonsoon_2010
21,75,14,76,13,-249.5523819,289.6494512,-70.64372541,77.79513972,-115.0463747,267.1192978
28,76,14,77,13,-249.5523819,289.6494512,-64.9003879,84.27477664,-115.0463747,267.1192978
35,77,14,78,13,-252.5529028,300.270486,-56.96807914,88.36193187,-129.3840662,265.9516472
13,74,15,75,14,-131.7821205,67.32748782,-79.87673544,83.82422735,-57.09186434,122.6180741
20,75,15,76,14,-294.0736966,303.8130304,-77.79511454,92.49886064,-151.1434635,306.3378487
27,76,15,77,14,-294.0736966,303.8130304,-73.05824507,100.5231589,-151.1434635,306.3378487
34,77,15,78,14,-294.0736966,303.8130304,-66.37497044,106.0147016,-151.1434635,306.3378487
12,74,16,75,15,-174.2241434,97.96272597,-85.48647163,94.56180631,-78.96559039,162.0661231
19,75,16,76,15,-294.0736966,303.8130304,-85.4308842,104.3450768,-151.1434635,306.3378487
26,76,16,77,15,-294.0736966,303.8130304,-83.42866144,113.270416,-151.1434635,306.3378487
33,77,16,78,15,-294.0736966,303.8130304,-79.90076087,119.7843287,-151.1434635,306.3378487
40,78,16,79,15,-272.8903162,275.210415,-75.33964621,122.4883324,-153.4499289,288.1847875
54,80,16,81,15,-251.7069358,246.6077995,-70.13826407,120.7884062,-155.7563943,270.0317264
4,73,17,74,16,-102.3588669,44.22211999,-86.14324076,92.24707571,-33.82834375,104.3079958
11,74,17,75,16,-196.382976,125.0222643,-90.78187095,102.9654561,-93.65292355,188.0401553
18,75,17,76,16,-256.3077526,227.9474165,-94.24721138,113.0617137,-129.7418601,260.1760181
25,76,17,77,16,-287.2369333,284.7095271,-96.67201506,121.9113264,-188.9869463,305.9926467
32,77,17,78,16,-287.2369333,284.7095271,-98.10495529,128.6316094,-188.9869463,305.9926467
39,78,17,79,16,-276.6452431,270.4082193,-98.42237354,132.3122745,-190.1401789,296.9161161
46,79,17,80,16,-237.8872879,226.9554904,-97.29095766,132.3758325,-189.721779,296.0205619
53,80,17,81,16,-237.8872879,226.9554904,-94.24995413,128.8860338,-189.721779,296.0205619
3,73,18,74,17,-218.5418086,152.0818026,-88.89096476,97.91822261,-108.3402567,214.0141875
10,74,18,75,17,-218.5418086,152.0818026,-96.60265839,108.9653758,-108.3402567,214.0141875
17,75,18,76,17,-218.5418086,152.0818026,-104.2076854,118.280388,-108.3402567,214.0141875
24,76,18,77,17,-280.40017,265.6060237,-111.726852,125.8185438,-226.830429,305.6474447
31,77,18,78,17,-280.40017,265.6060237,-118.8418412,131.5333374,-226.830429,305.6474447
38,78,18,79,17,-280.40017,265.6060237,-124.8030029,135.1893493,-226.830429,305.6474447
45,79,18,80,17,-224.0676401,207.3031812,-128.5004547,136.3804337,-223.6871637,322.0093974
52,80,18,81,17,-224.0676401,207.3031812,-128.7380911,134.7518565,-223.6871637,322.0093974
2,73,19,74,18,-218.5418086,152.0818026,-93.548609,101.5697301,-108.3402567,214.0141875
9,74,19,75,18,-218.5418086,152.0818026,-103.6879423,111.7373812,-108.3402567,214.0141875
16,75,19,76,18,-218.5418086,152.0818026,-114.5289336,119.0844131,-108.3402567,214.0141875
1,73,20,74,19,-236.0947695,77.70884428,-101.6827364,101.6688615,-107.6569798,194.0247074
8,74,20,75,19,-199.0245247,120.2524167,-112.4638437,109.7164435,-105.8145055,164.9569692
